AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,age_months,Pure
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,shetland sheepdog mix,Brown/White,12.0,No
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,domestic shorthair mix,Cream Tabby,12.0,No
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,pit bull mix,Blue/White,24.0,No
A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue Cream,0.75,No
A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,lhasa apso/miniature poodle,Tan,24.0,No
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,cairn terrier/chihuahua shorthair,Black/Tan,1.0,No
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue Tabby,0.75,No
A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Brown Tabby,0.75,No
A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,american pit bull terrier mix,Red/White,5.0,No
A677747,,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed Female,cairn terrier,White,12.0,Yes
A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Black,24.0,No
A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,miniature schnauzer mix,Silver,24.0,No
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,pit bull mix,Brown,48.0,No
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,yorkshire terrier mix,Black/Red,24.0,No
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,great pyrenees mix,White/Cream,12.0,No
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,3.0,No
A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby,0.75,No
A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,pit bull mix,Brown/White,0.5,No
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,angora mix,White,24.0,No
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,flat coat retriever mix,Black,12.0,No
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,queensland heeler mix,Black/White,2.0,No
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,domestic shorthair mix,White,12.0,No
A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,plott hound/boxer,Brown Brindle/White,24.0,No
A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,german shepherd mix,Brown/White,10.0,No
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,german shepherd mix,Black/Brown,2.0,No
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Orange Tabby,1.0,No
A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,american staffordshire terrier mix,Chocolate/White,6.0,No
A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,White/Tan,60.0,No
A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Cream Tabby/White,2.0,No
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered Male,russian blue mix,Blue,84.0,No
A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,domestic shorthair mix,Calico,36.0,No
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,labrador retriever mix,Black/White,4.0,No
A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Torbie,2.0,No
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,collie smooth/german shepherd,Brown/Black,60.0,No
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,chihuahua shorthair mix,Brown,36.0,No
A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,labrador retriever mix,Yellow,36.0,No
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,pit bull mix,Brown/White,36.0,No
A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue/White,2.0,No
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered Male,domestic shorthair mix,Black/White,4.0,No
A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby,0.75,No
A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Blue Tabby,84.0,No
A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Orange Tabby,2.0,No
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Brown Tabby,2.0,No
A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,domestic longhair mix,Black/White,48.0,No
A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black/White,24.0,No
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered Male,beagle,Tricolor,144.0,Yes
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,domestic shorthair mix,White/Black,108.0,No
A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black,0.75,No
A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,german shepherd mix,Black/Brown,5.0,No
A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,pit bull/labrador retriever,Chocolate/White,72.0,No
A684050,,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Tortie,12.0,No
A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,3.0,No
A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Blue Tabby/White,0.75,No
A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,blue lacy mix,Gray/White,24.0,No
A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Orange Tabby/White,2.0,No
A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black,0.25,No
A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Calico,2.0,No
A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,chihuahua shorthair mix,Tan,12.0,No
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,black mouth cur mix,Tan/Black,48.0,No
A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,dachshund/beagle,Brown/White,24.0,No
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Orange Tabby/White,12.0,No
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,yorkshire terrier mix,Brown/Black,132.0,No
A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black,1.0,No
A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,dachshund mix,Tan/White,24.0,No
A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Black,0.5,No
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,maltese mix,White,72.0,No
A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,pointer mix,Black/White,6.0,No
A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,english foxhound,Buff,2.0,Yes
A705258,,2015-06-16 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Brown Tabby/White,2.0,No
A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Red,12.0,No
A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,vizsla mix,Brown,2.0,No
A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Brown Brindle/White,24.0,No
A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,german shepherd/great pyrenees,White,36.0,No
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact Female,domestic shorthair mix,Black,12.0,No
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,yorkshire terrier mix,Blue/Tan,48.0,No
A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,cardigan welsh corgi/chihuahua shorthair,Tan,24.0,No
A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed Female,domestic longhair,Brown Tabby,3.0,Yes
A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,domestic shorthair mix,Calico,12.0,No
A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,chow chow/pit bull,Black,2.0,No
A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,domestic shorthair mix,Black/White,24.0,No
A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,chihuahua shorthair,White,12.0,Yes
A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,domestic shorthair mix,Blue Tabby,0.5,No
A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,siamese mix,Seal Point,1.0,No
A713690,,2015-10-12 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Blue Tabby,24.0,No
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,pit bull mix,Brown Brindle,144.0,No
A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,dachshund/beagle,Brown/White,12.0,No
A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Black,2.0,No
A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black,0.5,No
A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,labrador retriever mix,Black/White,3.0,No
A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed Female,domestic medium hair mix,Calico,3.0,No
A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,plott hound mix,Brown Brindle/White,5.0,No
A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,boxer/great dane,Black,36.0,No
A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,lhasa apso,White/Black,84.0,Yes
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,german shepherd mix,Black/Tan,24.0,No
A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Black,4.0,No
A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,beagle/treeing walker coonhound,White/Brown,108.0,No
A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,border collie mix,Black/White,7.0,No
A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black/White,2.0,No
A690658,,2014-10-24 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Black/White,36.0,No
A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,border terrier mix,Gray,36.0,No
A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,chihuahua shorthair mix,Tan/White,60.0,No
A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,boxer mix,Brown Brindle/White,60.0,No
A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,domestic medium hair mix,Blue,0.5,No
A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Black,0.5,No
A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,domestic shorthair mix,Torbie,48.0,No
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,cairn terrier mix,Tan/White,48.0,No
A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby,2.0,No
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,chihuahua shorthair mix,Black/Tan,24.0,No
A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,dogo argentino mix,White,24.0,No
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,dachshund mix,Black/Brown,108.0,No
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,beagle mix,Tricolor,60.0,No
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,chihuahua shorthair/dachshund,Yellow Brindle/White,12.0,No
A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,pit bull mix,Fawn/White,24.0,No
A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby,0.75,No
A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,pit bull mix,White/Brown,5.0,No
A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,domestic shorthair mix,Orange Tabby,72.0,No
A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Tan,12.0,No
A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact Male,chihuahua shorthair mix,Black/White,3.0,No
A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,domestic longhair mix,Calico,1.0,No
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,chihuahua shorthair mix,Brown,36.0,No
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,dachshund mix,Black,60.0,No
A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,miniature schnauzer/miniature poodle,Black,96.0,No
A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,labrador retriever mix,Black/White,2.0,No
A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,domestic shorthair mix,Tortie,84.0,No
A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact Female,domestic shorthair mix,Black,2.0,No
A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,pit bull,Black,60.0,Yes
A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,pit bull mix,White/Brown,12.0,No
A686520,,2014-08-24 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Brown Tabby,3.0,No
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,chihuahua shorthair mix,Brown/White,24.0,No
